image_path,yellow_pct,dark_pct
../data/raw/banana_set_large\20230204_082930_jpg.rf.530ec06a39a81da5240eb0b53400d281.jpg,8.6,11.1
../data/raw/banana_set_large\20230204_082939_jpg.rf.f43912cdd37a56203e4ef75ca5a600c7.jpg,21.0,21.4
../data/raw/banana_set_large\20230204_082945_jpg.rf.ddd370771915cddd558ddc382d8b1514.jpg,23.7,20.9
../data/raw/banana_set_large\20230204_082949_jpg.rf.7e9f051513c941b8a0e45a81e11fb441.jpg,9.9,16.0
../data/raw/banana_set_large\20230204_082957831_jpg.rf.22e97cdf2ec1f20f0f43e01543fd7243.jpg,5.7,8.4
../data/raw/banana_set_large\20230204_083005243_jpg.rf.32505d2a7bbfccd470a5d6f56ec757aa.jpg,4.5,8.5
../data/raw/banana_set_large\20230204_083009851_jpg.rf.fc529e490d973028381dc268c8d5dae3.jpg,12.2,30.3
../data/raw/banana_set_large\20230204_083018435_jpg.rf.a9b52f33545950a7621b01b4f02dcefb.jpg,9.6,8.0
../data/raw/banana_set_large\20230204_083026344_jpg.rf.d4dbf446f6786cbb42560f04ec2e42be.jpg,11.1,7.8
../data/raw/banana_set_large\20230204_083027_jpg.rf.915e5a5f9369e9619301fe4b29a04d41.jpg,22.6,30.6
../data/raw/banana_set_large\20230204_083030_jpg.rf.7d3b9ef4c1e40ae3092c71e012fd7517.jpg,23.1,16.8
../data/raw/banana_set_large\20230204_083031895_jpg.rf.a7dea5ed643f68f046e7ceb248c90230.jpg,4.6,6.1
../data/raw/banana_set_large\20230204_083035_jpg.rf.d3102d124a618f7f8dc60e780cea880e.jpg,19.5,16.8
../data/raw/banana_set_large\20230204_083039_jpg.rf.94a05e536f42fd512c02c0d585a3c8d3.jpg,18.3,12.7
../data/raw/banana_set_large\20230204_083206_jpg.rf.2fc28b7a0c5caa6413d88ae7cd54062e.jpg,20.6,11.8
../data/raw/banana_set_large\20230204_083210_jpg.rf.def660addfab2758162db786f1dd3774.jpg,0.0,29.6
../data/raw/banana_set_large\20230204_083214_jpg.rf.094eea71035ecee3da5bdcb02348e61d.jpg,0.0,21.7
../data/raw/banana_set_large\20230204_083219_jpg.rf.8aca2688509110e9fdf0ed6249fbef6c.jpg,36.1,2.2
../data/raw/banana_set_large\20230204_083227_jpg.rf.aad5246e0c6e5a975b8cf4308d75b822.jpg,1.2,23.5
../data/raw/banana_set_large\20230204_083314019_jpg.rf.6f22efed9c8c1dce4df3c0a177f70459.jpg,1.4,40.5
../data/raw/banana_set_large\20230204_083318940_jpg.rf.296e3bf4166324bd66595030583eed18.jpg,1.4,70.5
../data/raw/banana_set_large\20230204_083323351_jpg.rf.e8317482ee82e442cf3efd8941cd8652.jpg,3.1,74.6
../data/raw/banana_set_large\20230204_083329953_jpg.rf.4d6b249c17ea45c54a0fdb3d7cb59a83.jpg,1.9,68.2
../data/raw/banana_set_large\20230204_083428_jpg.rf.e0e79c7cf054de177a02955e0b5bd001.jpg,9.3,8.0
../data/raw/banana_set_large\20230204_083432_jpg.rf.6296b8b02bea01aba0f41835b4db2d19.jpg,16.8,29.0
../data/raw/banana_set_large\20230204_083437_jpg.rf.10731255765c4f9e01d6ce1889fe0d0e.jpg,16.6,19.0
../data/raw/banana_set_large\20230204_083438697_jpg.rf.db8b65b35a3fe17e18a027a8642d38ad.jpg,43.5,32.3
../data/raw/banana_set_large\20230204_083446721_jpg.rf.76a4e18da294bb99f69332313845a6d4.jpg,26.4,35.8
../data/raw/banana_set_large\20230204_083455887_jpg.rf.51bc5a07752fb3eb9b20e153e1404f00.jpg,37.3,15.2
../data/raw/banana_set_large\20230204_083513045_jpg.rf.522a5be929914a4e27eb3421a2340a0a.jpg,33.3,31.9
../data/raw/banana_set_large\20230204_083529977_jpg.rf.4c0d366d6d7fbd319acf13e750d79c6d.jpg,31.5,12.6
../data/raw/banana_set_large\20230204_083536663_jpg.rf.81552ad75c36d80d551e153b075a49ad.jpg,26.7,8.7
../data/raw/banana_set_large\20230204_083603893_jpg.rf.70b47051a0f0edff41812e3dcd95f5ae.jpg,5.2,39.4
../data/raw/banana_set_large\20230204_083609131_jpg.rf.661de8a7a5959d18c6df7f8e74120ed7.jpg,3.0,41.6
../data/raw/banana_set_large\20230204_083646_jpg.rf.df55341b6ffb71d2c7fa4862dda9e144.jpg,13.1,25.3
../data/raw/banana_set_large\20230204_083655_jpg.rf.e4e583e8b916b2fedc82ae2ed6980e21.jpg,13.5,22.2
../data/raw/banana_set_large\20230204_083705_jpg.rf.10f9bb480ab7015da7cf7359cd500c9e.jpg,15.6,29.6
../data/raw/banana_set_large\20230204_083718_jpg.rf.454d664ab77d16a194e60a2d33e2b048.jpg,0.3,45.5
../data/raw/banana_set_large\20230204_083731_jpg.rf.ba217f712e81ee9e2d512d8fbd15076f.jpg,15.9,34.4
../data/raw/banana_set_large\20230204_083743_jpg.rf.eb9491a33c6fa8f92095a404167807b8.jpg,8.2,24.4
../data/raw/banana_set_large\20230204_083746527_jpg.rf.fe08c90c47efe3a7d762019f396d8799.jpg,10.3,34.3
../data/raw/banana_set_large\20230204_083750100_jpg.rf.64a56aaa1bb3925c3194d60ab29023f9.jpg,20.0,22.3
../data/raw/banana_set_large\20230204_083757220_jpg.rf.e3d6e6e64962e3fed0b1dbf334cd062b.jpg,11.0,31.6
../data/raw/banana_set_large\20230204_083800_jpg.rf.f5e416cc8d6549486987dd253bbcf24a.jpg,15.6,23.5
../data/raw/banana_set_large\20230204_083810_jpg.rf.684a184db056341725a8de62b92fa86d.jpg,14.9,25.5
../data/raw/banana_set_large\20230204_083926_jpg.rf.2e0a827e6a0f67e67a569bd1cdb8ce28.jpg,10.6,27.3
../data/raw/banana_set_large\20230204_083939_jpg.rf.c84324ac487f807e0a157fb8c1243f17.jpg,10.0,7.6
../data/raw/banana_set_large\20230204_083954368_jpg.rf.04f9dc15d5a04329ebe1fc7341454dc1.jpg,20.4,11.4
../data/raw/banana_set_large\20230204_084006817-copia-_jpg.rf.1ad4f1b958a204eaae4d57a83b743a6c.jpg,17.2,14.8
../data/raw/banana_set_large\20230204_084011526_jpg.rf.0a39d13af729a5fda830d7a431b191ec.jpg,23.3,17.4
../data/raw/banana_set_large\20230204_084022_jpg.rf.9f0b3ee73a192d62fcfc488e1d79b131.jpg,2.5,20.0
../data/raw/banana_set_large\20230204_084028179_jpg.rf.6fb6729410d4573ff43d34bac9c5f54d.jpg,17.0,16.6
../data/raw/banana_set_large\20230204_084042298_jpg.rf.2197cf4328a910f1f690e19d3b05785a.jpg,20.3,7.9
../data/raw/banana_set_large\20230204_084051331_jpg.rf.a0f69b58fc2b6ec8611ac42c7cf44db5.jpg,24.1,19.3
../data/raw/banana_set_large\20230204_084243_jpg.rf.3e32e141939436a02c05989c99518a6a.jpg,11.6,37.7
../data/raw/banana_set_large\20230204_084320_jpg.rf.c989a65a4927e8c00125f56ba3a2d820.jpg,21.1,33.7
../data/raw/banana_set_large\20230204_084323370_jpg.rf.59545dba20c3512eb1bedfd4bc1a1bad.jpg,19.8,24.9
../data/raw/banana_set_large\20230204_084342_jpg.rf.a69ce7219493a662571328a27f3719a0.jpg,18.6,38.2
../data/raw/banana_set_large\20230204_084354635_jpg.rf.da6bc8b899d88fb38505a1d5acea5069.jpg,24.3,25.2
../data/raw/banana_set_large\20230204_084401_jpg.rf.7253367435c8b147e36407ac63f15363.jpg,22.2,17.4
../data/raw/banana_set_large\20230204_084412143_jpg.rf.9e2cad56a730a6d824807beb2c101e88.jpg,13.5,17.5
../data/raw/banana_set_large\20230204_084414_jpg.rf.b6f62e5de8f03dc91eb54ceea25ad7e2.jpg,17.0,25.1
../data/raw/banana_set_large\20230204_084428_jpg.rf.6b0f76de66a20d8b29e68f7b07698d48.jpg,9.7,20.1
../data/raw/banana_set_large\20230204_084445158_jpg.rf.9eacef83fbed4d2d37277f1edafd4879.jpg,16.7,30.1
../data/raw/banana_set_large\20230204_084450_jpg.rf.06938ca95cf63b3bc0675b974d361b29.jpg,31.0,14.0
../data/raw/banana_set_large\20230204_084508193_jpg.rf.4fd56f3a6b5fa183048d88be55b35913.jpg,16.0,3.9
../data/raw/banana_set_large\20230204_084514_jpg.rf.5410061ceb80f8ea8615367e3ef121f0.jpg,21.3,26.2
